Product Name,SKU,Amount,In Development,Broadcast
51000,51000,51000,Yes,Yes
51500,51500,51500,Yes,Yes
52000,52000,52000,Yes,Yes
52500,52500,52500,Yes,Yes
53000,53000,53000,Yes,Yes
53500,53500,53500,Yes,Yes
54000,54000,54000,Yes,Yes
54500,54500,54500,Yes,Yes
55000,55000,55000,Yes,Yes
55500,55500,55500,Yes,Yes
56000,56000,56000,Yes,Yes
56500,56500,56500,Yes,Yes
57000,57000,57000,Yes,Yes
57500,57500,57500,Yes,Yes
58000,58000,58000,Yes,Yes
58500,58500,58500,Yes,Yes
59000,59000,59000,Yes,Yes
59500,59500,59500,Yes,Yes
60000,60000,60000,Yes,Yes
60500,60500,60500,Yes,Yes
61000,61000,61000,Yes,Yes
61500,61500,61500,Yes,Yes
62000,62000,62000,Yes,Yes
62500,62500,62500,Yes,Yes
63000,63000,63000,Yes,Yes
63500,63500,63500,Yes,Yes
64000,64000,64000,Yes,Yes
64500,64500,64500,Yes,Yes
65000,65000,65000,Yes,Yes
65500,65500,65500,Yes,Yes
66000,66000,66000,Yes,Yes
66500,66500,66500,Yes,Yes
67000,67000,67000,Yes,Yes
67500,67500,67500,Yes,Yes
68000,68000,68000,Yes,Yes
68500,68500,68500,Yes,Yes
69000,69000,69000,Yes,Yes
69500,69500,69500,Yes,Yes
70000,70000,70000,Yes,Yes
70500,70500,70500,Yes,Yes
71000,71000,71000,Yes,Yes
71500,71500,71500,Yes,Yes
72000,72000,72000,Yes,Yes
72500,72500,72500,Yes,Yes
73000,73000,73000,Yes,Yes
73500,73500,73500,Yes,Yes
74000,74000,74000,Yes,Yes
74500,74500,74500,Yes,Yes
75000,75000,75000,Yes,Yes
75500,75500,75500,Yes,Yes
76000,76000,76000,Yes,Yes
76500,76500,76500,Yes,Yes
77000,77000,77000,Yes,Yes
77500,77500,77500,Yes,Yes
78000,78000,78000,Yes,Yes
78500,78500,78500,Yes,Yes
79000,79000,79000,Yes,Yes
79500,79500,79500,Yes,Yes
80000,80000,80000,Yes,Yes
80500,80500,80500,Yes,Yes
81000,81000,81000,Yes,Yes
81500,81500,81500,Yes,Yes
82000,82000,82000,Yes,Yes
82500,82500,82500,Yes,Yes
83000,83000,83000,Yes,Yes
83500,83500,83500,Yes,Yes
84000,84000,84000,Yes,Yes
84500,84500,84500,Yes,Yes
85000,85000,85000,Yes,Yes
85500,85500,85500,Yes,Yes
86000,86000,86000,Yes,Yes
86500,86500,86500,Yes,Yes
87000,87000,87000,Yes,Yes
87500,87500,87500,Yes,Yes
88000,88000,88000,Yes,Yes
88500,88500,88500,Yes,Yes
89000,89000,89000,Yes,Yes
89500,89500,89500,Yes,Yes
90000,90000,90000,Yes,Yes
90500,90500,90500,Yes,Yes
91000,91000,91000,Yes,Yes
91500,91500,91500,Yes,Yes
92000,92000,92000,Yes,Yes
92500,92500,92500,Yes,Yes
93000,93000,93000,Yes,Yes
93500,93500,93500,Yes,Yes
94000,94000,94000,Yes,Yes
94500,94500,94500,Yes,Yes
95000,95000,95000,Yes,Yes
95500,95500,95500,Yes,Yes
96000,96000,96000,Yes,Yes
96500,96500,96500,Yes,Yes
97000,97000,97000,Yes,Yes
97500,97500,97500,Yes,Yes
98000,98000,98000,Yes,Yes
98500,98500,98500,Yes,Yes
99000,99000,99000,Yes,Yes
99500,99500,99500,Yes,Yes
100000,100000,100000,Yes,Yes
